resource_id,title,description,topic,subtopic,difficulty,modality,estimated_duration_min,curriculum_tag,tags
R022,Angles - Practice Set 2,"This resource teaches angles in geometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,angles,beginner,practice set,28,sec3,"angles,beginner,geometry,practice set,sec3"
R023,Angles - Worked Example 3,"This resource teaches angles in geometry. It includes worked example material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,angles,intermediate,worked example,37,sec3,"angles,geometry,intermediate,sec3,worked example"
R024,Angles - Notes 4,"This resource teaches angles in geometry. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",geometry,angles,beginner,notes,43,pre-u,"angles,beginner,geometry,notes,pre-u"
R025,Polygons - Practice Set 1,"This resource teaches polygons in geometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",geometry,polygons,beginner,practice set,35,pre-u,"beginner,geometry,polygons,practice set,pre-u"
R026,Polygons - Notes 2,"This resource teaches polygons in geometry. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",geometry,polygons,intermediate,notes,16,pre-u,"geometry,intermediate,notes,polygons,pre-u"
R027,Polygons - Video 3,"This resource teaches polygons in geometry. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,polygons,intermediate,video,15,sec3,"geometry,intermediate,polygons,sec3,video"
R028,Polygons - Worked Example 4,"This resource teaches polygons in geometry. It includes worked example material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",geometry,polygons,intermediate,worked example,12,sec4,"geometry,intermediate,polygons,sec4,worked example"
R029,Circles - Worked Example 1,"This resource teaches circles in geometry. It includes worked example material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",geometry,circles,intermediate,worked example,41,sec4,"circles,geometry,intermediate,sec4,worked example"
R030,Circles - Video 2,"This resource teaches circles in geometry. It includes video material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",geometry,circles,advanced,video,15,pre-u,"advanced,circles,geometry,pre-u,video"
R031,Circles - Quiz 3,"This resource teaches circles in geometry. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,circles,advanced,quiz,29,sec3,"advanced,circles,geometry,quiz,sec3"
R032,Circles - Notes 4,"This resource teaches circles in geometry. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,circles,beginner,notes,37,sec3,"beginner,circles,geometry,notes,sec3"
R033,Coordinate Geometry - Quiz 1,"This resource teaches coordinate geometry in geometry. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,coordinate geometry,advanced,quiz,40,sec3,"advanced,coordinate geometry,geometry,quiz,sec3"
R034,Coordinate Geometry - Video 2,"This resource teaches coordinate geometry in geometry. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",geometry,coordinate geometry,intermediate,video,27,pre-u,"coordinate geometry,geometry,intermediate,pre-u,video"
R035,Coordinate Geometry - Notes 3,"This resource teaches coordinate geometry in geometry. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",geometry,coordinate geometry,intermediate,notes,17,sec4,"coordinate geometry,geometry,intermediate,notes,sec4"
R036,Coordinate Geometry - Practice Set 4,"This resource teaches coordinate geometry in geometry. It includes practice set material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,coordinate geometry,advanced,practice set,41,sec3,"advanced,coordinate geometry,geometry,practice set,sec3"
R037,Mensuration - Worked Example 1,"This resource teaches mensuration in geometry. It includes worked example material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,mensuration,intermediate,worked example,9,sec3,"geometry,intermediate,mensuration,sec3,worked example"
R038,Mensuration - Quiz 2,"This resource teaches mensuration in geometry. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,mensuration,advanced,quiz,23,sec3,"advanced,geometry,mensuration,quiz,sec3"
R039,Mensuration - Practice Set 3,"This resource teaches mensuration in geometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,mensuration,beginner,practice set,13,sec3,"beginner,geometry,mensuration,practice set,sec3"
R040,Mensuration - Video 4,"This resource teaches mensuration in geometry. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",geometry,mensuration,intermediate,video,42,sec3,"geometry,intermediate,mensuration,sec3,video"
R041,Sine Rule - Worked Example 1,"This resource teaches sine rule in trigonometry. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,sine rule,beginner,worked example,43,sec3,"beginner,sec3,sine rule,trigonometry,worked example"
R042,Sine Rule - Practice Set 2,"This resource teaches sine rule in trigonometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,sine rule,beginner,practice set,35,sec3,"beginner,practice set,sec3,sine rule,trigonometry"
R043,Sine Rule - Notes 3,"This resource teaches sine rule in trigonometry. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",trigonometry,sine rule,advanced,notes,27,sec4,"advanced,notes,sec4,sine rule,trigonometry"
R044,Sine Rule - Quiz 4,"This resource teaches sine rule in trigonometry. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",trigonometry,sine rule,advanced,quiz,36,pre-u,"advanced,pre-u,quiz,sine rule,trigonometry"
R045,Cosine Rule - Notes 1,"This resource teaches cosine rule in trigonometry. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,cosine rule,intermediate,notes,22,sec3,"cosine rule,intermediate,notes,sec3,trigonometry"
R046,Cosine Rule - Practice Set 2,"This resource teaches cosine rule in trigonometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,cosine rule,beginner,practice set,43,sec3,"beginner,cosine rule,practice set,sec3,trigonometry"
R047,Cosine Rule - Video 3,"This resource teaches cosine rule in trigonometry. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",trigonometry,cosine rule,intermediate,video,12,pre-u,"cosine rule,intermediate,pre-u,trigonometry,video"
R048,Cosine Rule - Notes 4,"This resource teaches cosine rule in trigonometry. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,cosine rule,intermediate,notes,12,sec3,"cosine rule,intermediate,notes,sec3,trigonometry"
R049,Trig Ratios - Video 1,"This resource teaches trig ratios in trigonometry. It includes video material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,trig ratios,advanced,video,40,sec3,"advanced,sec3,trig ratios,trigonometry,video"
R050,Trig Ratios - Worked Example 2,"This resource teaches trig ratios in trigonometry. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",trigonometry,trig ratios,beginner,worked example,21,pre-u,"beginner,pre-u,trig ratios,trigonometry,worked example"
R051,Trig Ratios - Practice Set 3,"This resource teaches trig ratios in trigonometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",trigonometry,trig ratios,beginner,practice set,44,sec4,"beginner,practice set,sec4,trig ratios,trigonometry"
R052,Trig Ratios - Worked Example 4,"This resource teaches trig ratios in trigonometry. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,trig ratios,beginner,worked example,34,sec3,"beginner,sec3,trig ratios,trigonometry,worked example"
R053,Bearings - Worked Example 1,"This resource teaches bearings in trigonometry. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",trigonometry,bearings,beginner,worked example,30,sec4,"bearings,beginner,sec4,trigonometry,worked example"
R054,Bearings - Video 2,"This resource teaches bearings in trigonometry. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,bearings,intermediate,video,14,sec3,"bearings,intermediate,sec3,trigonometry,video"
R055,Bearings - Quiz 3,"This resource teaches bearings in trigonometry. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,bearings,intermediate,quiz,14,sec3,"bearings,intermediate,quiz,sec3,trigonometry"
R056,Bearings - Practice Set 4,"This resource teaches bearings in trigonometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,bearings,beginner,practice set,36,sec3,"bearings,beginner,practice set,sec3,trigonometry"
R057,Graphs - Quiz 1,"This resource teaches graphs in trigonometry. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,graphs,intermediate,quiz,37,sec3,"graphs,intermediate,quiz,sec3,trigonometry"
R058,Graphs - Video 2,"This resource teaches graphs in trigonometry. It includes video material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",trigonometry,graphs,advanced,video,36,pre-u,"advanced,graphs,pre-u,trigonometry,video"
R059,Graphs - Practice Set 3,"This resource teaches graphs in trigonometry. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",trigonometry,graphs,beginner,practice set,8,sec3,"beginner,graphs,practice set,sec3,trigonometry"
R060,Graphs - Notes 4,"This resource teaches graphs in trigonometry. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",trigonometry,graphs,advanced,notes,18,sec4,"advanced,graphs,notes,sec4,trigonometry"
R061,Limits - Notes 1,"This resource teaches limits in calculus. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,limits,intermediate,notes,33,sec3,"calculus,intermediate,limits,notes,sec3"
R062,Limits - Video 2,"This resource teaches limits in calculus. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,limits,beginner,video,32,sec4,"beginner,calculus,limits,sec4,video"
R063,Limits - Worked Example 3,"This resource teaches limits in calculus. It includes worked example material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,limits,advanced,worked example,26,sec4,"advanced,calculus,limits,sec4,worked example"
R064,Limits - Practice Set 4,"This resource teaches limits in calculus. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,limits,intermediate,practice set,39,sec3,"calculus,intermediate,limits,practice set,sec3"
R065,Differentiation - Notes 1,"This resource teaches differentiation in calculus. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",calculus,differentiation,beginner,notes,11,pre-u,"beginner,calculus,differentiation,notes,pre-u"
R066,Differentiation - Video 2,"This resource teaches differentiation in calculus. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,differentiation,intermediate,video,28,sec3,"calculus,differentiation,intermediate,sec3,video"
R067,Differentiation - Worked Example 3,"This resource teaches differentiation in calculus. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",calculus,differentiation,beginner,worked example,40,pre-u,"beginner,calculus,differentiation,pre-u,worked example"
R068,Differentiation - Practice Set 4,"This resource teaches differentiation in calculus. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,differentiation,beginner,practice set,13,sec3,"beginner,calculus,differentiation,practice set,sec3"
R069,Stationary Points - Video 1,"This resource teaches stationary points in calculus. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,stationary points,beginner,video,23,sec4,"beginner,calculus,sec4,stationary points,video"
R070,Stationary Points - Practice Set 2,"This resource teaches stationary points in calculus. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",calculus,stationary points,beginner,practice set,23,pre-u,"beginner,calculus,practice set,pre-u,stationary points"
R071,Stationary Points - Practice Set 3,"This resource teaches stationary points in calculus. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,stationary points,intermediate,practice set,13,sec4,"calculus,intermediate,practice set,sec4,stationary points"
R072,Stationary Points - Practice Set 4,"This resource teaches stationary points in calculus. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,stationary points,intermediate,practice set,41,sec4,"calculus,intermediate,practice set,sec4,stationary points"
R073,Integration - Notes 1,"This resource teaches integration in calculus. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,integration,advanced,notes,28,sec3,"advanced,calculus,integration,notes,sec3"
R074,Integration - Notes 2,"This resource teaches integration in calculus. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,integration,beginner,notes,27,sec4,"beginner,calculus,integration,notes,sec4"
R075,Integration - Video 3,"This resource teaches integration in calculus. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,integration,beginner,video,8,sec4,"beginner,calculus,integration,sec4,video"
R076,Integration - Practice Set 4,"This resource teaches integration in calculus. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,integration,intermediate,practice set,14,sec3,"calculus,integration,intermediate,practice set,sec3"
R077,Applications Of Derivatives - Practice Set 1,"This resource teaches applications of derivatives in calculus. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",calculus,applications of derivatives,intermediate,practice set,24,sec3,"applications of derivatives,calculus,intermediate,practice set,sec3"
R078,Applications Of Derivatives - Video 2,"This resource teaches applications of derivatives in calculus. It includes video material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",calculus,applications of derivatives,advanced,video,23,sec4,"advanced,applications of derivatives,calculus,sec4,video"
R079,Applications Of Derivatives - Worked Example 3,"This resource teaches applications of derivatives in calculus. It includes worked example material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",calculus,applications of derivatives,beginner,worked example,42,pre-u,"applications of derivatives,beginner,calculus,pre-u,worked example"
R080,Applications Of Derivatives - Practice Set 4,"This resource teaches applications of derivatives in calculus. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",calculus,applications of derivatives,beginner,practice set,8,pre-u,"applications of derivatives,beginner,calculus,practice set,pre-u"
R081,Tree Diagrams - Quiz 1,"This resource teaches tree diagrams in probability. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,tree diagrams,advanced,quiz,14,sec3,"advanced,probability,quiz,sec3,tree diagrams"
R082,Tree Diagrams - Video 2,"This resource teaches tree diagrams in probability. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,tree diagrams,beginner,video,43,sec3,"beginner,probability,sec3,tree diagrams,video"
R083,Tree Diagrams - Practice Set 3,"This resource teaches tree diagrams in probability. It includes practice set material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,tree diagrams,beginner,practice set,21,pre-u,"beginner,practice set,pre-u,probability,tree diagrams"
R084,Tree Diagrams - Quiz 4,"This resource teaches tree diagrams in probability. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",probability,tree diagrams,beginner,quiz,40,sec4,"beginner,probability,quiz,sec4,tree diagrams"
R085,Conditional Probability - Video 1,"This resource teaches conditional probability in probability. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,conditional probability,beginner,video,13,pre-u,"beginner,conditional probability,pre-u,probability,video"
R086,Conditional Probability - Quiz 2,"This resource teaches conditional probability in probability. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,conditional probability,intermediate,quiz,10,sec3,"conditional probability,intermediate,probability,quiz,sec3"
R087,Conditional Probability - Notes 3,"This resource teaches conditional probability in probability. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,conditional probability,beginner,notes,24,sec3,"beginner,conditional probability,notes,probability,sec3"
R088,Conditional Probability - Practice Set 4,"This resource teaches conditional probability in probability. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,conditional probability,intermediate,practice set,35,pre-u,"conditional probability,intermediate,practice set,pre-u,probability"
R089,Independent Events - Video 1,"This resource teaches independent events in probability. It includes video material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,independent events,beginner,video,17,pre-u,"beginner,independent events,pre-u,probability,video"
R090,Independent Events - Quiz 2,"This resource teaches independent events in probability. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,independent events,beginner,quiz,45,pre-u,"beginner,independent events,pre-u,probability,quiz"
R091,Independent Events - Notes 3,"This resource teaches independent events in probability. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",probability,independent events,beginner,notes,10,sec4,"beginner,independent events,notes,probability,sec4"
R092,Independent Events - Video 4,"This resource teaches independent events in probability. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,independent events,intermediate,video,30,sec3,"independent events,intermediate,probability,sec3,video"
R093,Expected Value - Video 1,"This resource teaches expected value in probability. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,expected value,intermediate,video,30,pre-u,"expected value,intermediate,pre-u,probability,video"
R094,Expected Value - Worked Example 2,"This resource teaches expected value in probability. It includes worked example material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,expected value,advanced,worked example,17,sec3,"advanced,expected value,probability,sec3,worked example"
R095,Expected Value - Notes 3,"This resource teaches expected value in probability. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,expected value,advanced,notes,34,sec3,"advanced,expected value,notes,probability,sec3"
R096,Expected Value - Quiz 4,"This resource teaches expected value in probability. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",probability,expected value,beginner,quiz,34,pre-u,"beginner,expected value,pre-u,probability,quiz"
R097,Sample Space - Notes 1,"This resource teaches sample space in probability. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,sample space,advanced,notes,25,sec3,"advanced,notes,probability,sample space,sec3"
R098,Sample Space - Video 2,"This resource teaches sample space in probability. It includes video material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,sample space,advanced,video,32,sec3,"advanced,probability,sample space,sec3,video"
R099,Sample Space - Notes 3,"This resource teaches sample space in probability. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",probability,sample space,advanced,notes,20,sec4,"advanced,notes,probability,sample space,sec4"
R100,Sample Space - Notes 4,"This resource teaches sample space in probability. It includes notes material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",probability,sample space,beginner,notes,22,sec3,"beginner,notes,probability,sample space,sec3"
R101,Mean Median Mode - Worked Example 1,"This resource teaches mean median mode in statistics. It includes worked example material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",statistics,mean median mode,intermediate,worked example,29,sec4,"intermediate,mean median mode,sec4,statistics,worked example"
R102,Mean Median Mode - Quiz 2,"This resource teaches mean median mode in statistics. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",statistics,mean median mode,advanced,quiz,30,pre-u,"advanced,mean median mode,pre-u,quiz,statistics"
R103,Mean Median Mode - Practice Set 3,"This resource teaches mean median mode in statistics. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",statistics,mean median mode,intermediate,practice set,29,sec3,"intermediate,mean median mode,practice set,sec3,statistics"
R104,Mean Median Mode - Quiz 4,"This resource teaches mean median mode in statistics. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",statistics,mean median mode,beginner,quiz,19,pre-u,"beginner,mean median mode,pre-u,quiz,statistics"
R105,Histograms - Quiz 1,"This resource teaches histograms in statistics. It includes quiz material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",statistics,histograms,advanced,quiz,10,sec3,"advanced,histograms,quiz,sec3,statistics"
R106,Histograms - Quiz 2,"This resource teaches histograms in statistics. It includes quiz material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",statistics,histograms,intermediate,quiz,28,sec4,"histograms,intermediate,quiz,sec4,statistics"
R107,Histograms - Practice Set 3,"This resource teaches histograms in statistics. It includes practice set material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",statistics,histograms,intermediate,practice set,15,sec4,"histograms,intermediate,practice set,sec4,statistics"
R108,Histograms - Notes 4,"This resource teaches histograms in statistics. It includes notes material with advanced level explanation, step-by-step examples, practice support, and curriculum alignment for sec3 learners.",statistics,histograms,advanced,notes,24,sec3,"advanced,histograms,notes,sec3,statistics"
R109,Cumulative Frequency - Video 1,"This resource teaches cumulative frequency in statistics. It includes video material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",statistics,cumulative frequency,intermediate,video,41,pre-u,"cumulative frequency,intermediate,pre-u,statistics,video"
R110,Cumulative Frequency - Notes 2,"This resource teaches cumulative frequency in statistics. It includes notes material with intermediate level explanation, step-by-step examples, practice support, and curriculum alignment for sec4 learners.",statistics,cumulative frequency,intermediate,notes,31,sec4,"cumulative frequency,intermediate,notes,sec4,statistics"
R111,Cumulative Frequency - Quiz 3,"This resource teaches cumulative frequency in statistics. It includes quiz material with beginner level explanation, step-by-step examples, practice support, and curriculum alignment for pre-u learners.",statistics,cumulative frequency,beginner,quiz,28,pre-u,"beginner,cumulative frequency,pre-u,quiz,statistics"
